doi,access_right,title
10.5281/zenodo.6257392,open,Synthetic river flow videos dataset
10.5281/zenodo.3964299,open,Synthetic EUNOMIA Mastodon Testbed Dataset
10.5281/zenodo.2642260,open,FluTE Synthetic Ecosystems for USA
10.5061/dryad.2sv68,open,Data from: A synthetic cationic antimicrobial peptide inhibits inflammatory response and the NLRP3 inflammasome by neutralizing LPS and ATP
10.5281/zenodo.1174545,open,Example data for the VISIBLE software package
10.5281/zenodo.5567616,open,Impact of 3D Cloud Structures on the Atmospheric Trace Gas Products from UV-VIS Sounders: Synthetic dataset for validation of trace gas retrieval algorithms
10.5281/zenodo.5764686,open,Chaos in small microbial communities
10.5281/zenodo.4957665,open,dAndrea_etal_mateials
10.5281/zenodo.4431658,open,Waveform Data -NbConst_Syn
10.5281/zenodo.4431668,open,Waveform Data -NbVar_Syn
10.5061/dryad.g79cnp5qg,open,Crossing design shapes patterns of genetic variation in synthetic recombinant populations of Saccharomyces cerevisiae
10.5281/zenodo.5646625,open,reduced permeability
10.5281/zenodo.260106,restricted,"Insights from Synthetic Star-forming Regions: Synthetic dataset ""observed"" in IRAC1, IRAC2 & MIPS1 at 1 to 15 kpc"
10.5061/dryad.1jwstqjt5,open,Evaluating natural experiments in ecology: using synthetic controls in assessments of remotely-sensed land-treatments
10.5281/zenodo.4665757,open,"synthetic receiver function waveforms for manuscript ""Depth extent and V_p/V_s ratio of the Chenghai fault zone, Yunnan, China constrained from dense-array-based teleseismic receiver functions"""
10.5281/zenodo.6359688,restricted,SyntCities
10.5281/zenodo.3441614,open,Transient electromagnetic data de-noising
10.5281/zenodo.3668352,open,WRFv3.6.1_inflow_idealised_LES_v1.0
10.5281/zenodo.48002,closed,SynISAR
10.5281/zenodo.3615634,open,Synthetic data for the solution of geophysical inverse problems
10.5061/dryad.4r910,open,Data from: Integrating sequence evolution into probabilistic orthology analysis
10.5281/zenodo.1186684,open,Synthetic log file recording the workflow of a smart factory.
10.5061/dryad.v82jf,open,Data from: Behavioral evidence for fruit odor discrimination and sympatric host races of Rhagoletis pomonella flies in the western United States
10.5281/zenodo.4026861,open,"leonardlab/Source Data for ""Elucidation and refinement of synthetic receptor mechanisms"""
10.5281/zenodo.3457235,open,HiPR-FISH E. coli Titration Experiment Mix 2
10.5281/zenodo.3457247,open,HiPR-FISH E. coli Titration Experiment Mix 5
10.5281/zenodo.3457253,open,HiPR-FISH E. coli Titration Experiment Mix 7
10.5281/zenodo.3457249,open,HiPR-FISH E.coli Titration Experiment Mix 6
10.5281/zenodo.3455898,open,HiPR-FISH E. coli Titration Experiment Mix 0
10.5281/zenodo.3457243,open,HiPR-FISH E. coli Titration Experiment Mix 3
10.5281/zenodo.3457096,open,HiPR-FISH E. coli Titration Experiment Mix 1
10.5281/zenodo.3457245,open,HiPR-FISH E. coli Titration Experiment Mix 4
10.5281/zenodo.3724144,open,mGEMS synthetic mixed samples (Supplementary Table)
10.5281/zenodo.3758125,open,"Data for synthetic  simulation in ""Topography curvature effects in shallow-water models"""
10.5281/zenodo.5243103,open,Source data for Synthetic dynamic hydrogels promote degradation-independent in vitro organogenesis
10.5281/zenodo.5016321,open,Synthetic data starch potato system Veenkoloniën
10.5281/zenodo.3870851,open,AAU synthetic ROS dataset for VIO
10.5281/zenodo.4922849,open,Synthetic Distribution Grid Model for Eindhoven
10.5281/zenodo.4286040,open,Automated design of synthetic microbial communities
10.5281/zenodo.4733386,open,DJIN model of aging synthetic dataset
10.5281/zenodo.574092,open,"Tanzania, United Republic of Synthetic Ecosystem"
10.5281/zenodo.3986494,open,Stacked Dense Denoise-Segmentation Synthetic Annotations
10.5281/zenodo.4955933,open,CINECA synthetic cohort Africa H3ABioNet v1
10.5281/zenodo.3653141,open,Synthetic Data Set for Uplift Modeling
10.5281/zenodo.3727593,open,EmoSynth: The Emotional Synthetic Audio Dataset
10.5281/zenodo.4580315,open,Synthetic Tropical Cyclones for Risk Assessment
10.5281/zenodo.4274458,open,I-BiDaaS - TID - Synthetic Mobility Data
10.5281/zenodo.3247728,open,S45 | SYNTHCANNAB | Synthetic Cannabinoids from CompTox
10.5281/zenodo.5714810,open,Dataset on virtual proteins realized with a synthetic hologram
10.5281/zenodo.5644398,open,Specifica's recombinant Anti SARS-CoV2 antibodies
10.5281/zenodo.3762385,open,MarkusThill/MGAB: The Mackey-Glass Anomaly Benchmark
10.5281/zenodo.6394684,open,VWFP: Virtual World Fallen People Dataset for Visual Fallen People Detection
10.5281/zenodo.1098332,open,Synthetic P-wave first motion dataset (20171208ver.)
10.5281/zenodo.3457255,open,HiPR-FISH 1023 Mix Experiment
10.5281/zenodo.5741402,open,Synthetic dataset for the flow-shop problem (FS_DS_01)
10.5281/zenodo.1003223,open,Test data in spreadsheet format
10.5281/zenodo.3625567,open,Process Mining from Information-Seeking Conversations
10.5281/zenodo.5425535,open,Use of synthetic aperture radar data for the determination of vegetation indices
10.5281/zenodo.5537151,open,Synthesized Polyp Masks
10.5281/zenodo.5031881,open,pGAN Synthetic Dataset: A Deep Learning Approach to Private Data Sharing of Medical Images Using Conditional GANs
10.5281/zenodo.1408072,open,Observing substructure in circumstellar discs around massive young stellar objects
10.5281/zenodo.5529327,open,"NGS Data Accompanying ""Deep Learning Enables Design of Multifunctional Synthetic Human Gut Microbiome Dynamics"""
10.5281/zenodo.4442665,open,NPLM: Learning Multivariate New Physics
10.5281/zenodo.4501638,restricted,Urban Sound Subset of AudioSet
10.5281/zenodo.1341989,open,Datasets of microtremor arrays and phase velocities of Rayleigh waves
10.5281/zenodo.5587957,open,St. Mary's Synthetic Generation and Load Data
10.5281/zenodo.5741483,open,Synthetic dataset for the job-shop problem (JS_DS_01)
10.5281/zenodo.6326786,open,Processed datasets for differential expression analysis on polulation-level RNA-seq data
10.5281/zenodo.3727599,open,Process Mining from Information-Seeking Conversations
10.5281/zenodo.4382271,open,Flexible metagenome analysis using the MGX framework -- Benchmark data
10.1101/2021.04.30.441789,open,Synthetic datasets with controlled structures at first and second order
10.5281/zenodo.5850224,open,Good/Bad data set
10.5281/zenodo.4642238,open,"Illumina Sequencing Data for ""Design of synthetic human gut microbiome assembly and butyrate production"""
10.5281/zenodo.4495680,open,PatchFlow v1.0 mobility networks
10.5281/zenodo.5920504,open,Convolutional-neural-network-based reflection-waveform inversion (major revision)
10.5281/zenodo.556121,restricted,Synthetic population housing and person records for the United States
10.5281/zenodo.4454971,open,VIPPrint: A Large Scale Dataset for Colored Printed Documents Authentication and Source Linking
10.5061/dryad.z612jm6bt,open,Data from: Long-term (1979-present) total water storage anomalies over the global land derived by reconstructing GRACE data
10.5281/zenodo.5544057,open,SASC: A Simple Approach to Synthetic Cohorts. Applying COVID-19 clinical data to generate longitudinal observational patient cohorts and comparison with alternative synthetic cohort approaches as well as real patient data
10.5281/zenodo.1409427,open,Dataset for RNA-seq basic tutorial in Galaxy Australia
10.5281/zenodo.2577920,open,Sensitivity Datasets - Leveraging Implicit Knowledge in Neural Networks for Functional Dissection and Engineering of Proteins
10.5281/zenodo.4639394,open,European cement and iron & steel plants production data
10.5281/zenodo.5759312,open,Comparing natural hydrogels to self-assembling peptides in spinal cord injury treatment: a systematic review
10.5281/zenodo.4662816,open,Combining Forward Stratigraphic Simulation and Machine Learning Technique to Predict Density-Porosity.
10.5281/zenodo.5842270,open,HPC geophysical electromagnetics: a synthetic VTI model with complex bathymetry
10.5281/zenodo.1116406,open,Datasets of P-wave first-motions
10.5281/zenodo.250179,open,EFFICIENT GENERATION OF RECEIVER OPERATING CHARACTERISTICS FOR THE EVALUATION OF DAMAGE DETECTION IN PRACTICAL STRUCTURAL HEALTH MONITORING APPLICATIONS
10.5281/zenodo.3655290,open,"Catalogs and stress history for ""stress dependent b value variations in a heterogeneous rate-and-state fault model"""
10.5281/zenodo.1188466,open,Datasets of P-wave first-motions
10.5281/zenodo.2642242,open,FluTE Synthetic Ecosystems for Los Angeles County
10.5281/zenodo.574096,open,United States of America (the) Synthetic Ecosystem
10.5281/zenodo.4031902,open,Synthetic MISE Data for Radiation Robustness Analysis
10.5281/zenodo.4019965,open,Synthetic Noisy Reads Generated from Human Genomes
10.5281/zenodo.4276130,open,Rule-based Synthetic Data for Japanese GEC
10.5281/zenodo.4274454,open,I-BiDaaS - TID - Synthetic Call Centre Data
10.5281/zenodo.6214550,open,Synthetic Simulations Of Extracellular Recordings (SSOER) Dataset
10.5281/zenodo.4091026,open,I-BiDaaS - CAIXA - IP addresses - Synthetic Dataset
10.5281/zenodo.5126478,open,MAESTRO Synthetic - Multi-Annotator Estimated Strong Labels
10.5281/zenodo.4701316,open,Synbols: Probing Learning Algorithms with Synthetic Datasets
10.7291/D1K968,open,UVS Occultation Altimetry Code and Synthetic Data
10.5281/zenodo.4485995,open,Synthetic population data for Belgium for STRIDE
10.5281/zenodo.4434268,open,Waveform Data -BbVar_Syn
10.5281/zenodo.4434267,open,Waveform Data -BbConst_Syn
10.5281/zenodo.5879841,open,Raw data of experiments on the Bisexual lures and their comparison with synthetic sex attractants for trapping Orthosia species (Lepidoptera: Noctuidae)
10.5281/zenodo.5539508,open,Replication package for Real Effects of Financial Distress: The Role of Heterogeneity
10.5281/zenodo.5039964,restricted,Antifeedant efficacy of Mentha spicata aqueous extracts on fall armyworm (Spodoptera frugiperda): a preliminary analysis
10.5281/zenodo.1476449,open,gazeNet: End-to-end eye-movement event detection with deep neural networks
10.5061/dryad.7b2kg107,open,Data from: Interacting impacts of invasive plants and invasive toads on native lizards
10.5281/zenodo.5567209,open,The VAROS Synthetic Underwater Data Set: Towards realistic multi-sensor underwater data with ground truth
10.5281/zenodo.59704,open,"Dataset for the publication ""Neutrophilic Bioleaching of Synthetic Covellite – A Model System Combining Experimental Data and Geochemical Modeling"""
10.0000/VillanovaASEmoon,open,Estimation of the lunar regolith layer using Apollo mission active seismic data: The dataset
10.5281/zenodo.5977834,open,"Dataset for ""selection rules in symmetry-broken systems by symmetries in synthetic dimensions"""
10.5281/zenodo.4606729,open,"Supplementary Materials for ""Dualism and superposition in the analysis of English synthetic compounds ending in '-er'"", published in Linguistics"
10.5281/zenodo.5361599,closed,hb-P2 MS2 reporter data
10.5281/zenodo.4265803,open,Experimental Study on Wave–Ice Interaction using Freely Floating Synthetic Ice Floes
10.5281/zenodo.5622627,open,An Improved Tandem Neural Network Architecture for Inverse Modeling of Multicomponent Reactive Transport in Porous Media
10.5281/zenodo.2560145,open,"Research data supporting ""Bioinspired fabrication of DNA-inorganic hybrid composites using synthetic DNA"""
10.5281/zenodo.1437589,open,"PanDDA analysis of DCP2B screened against DSPL/DSi Poised, OxXChem fragment libraries and initial follow up chemistry"
10.5281/zenodo.5949149,open,Submissions_dcase_2021_task4
10.5281/zenodo.4630664,open,NaroNet: Objective-based learning of the tumor microenvironment from highly multiplexed immunostained images
10.5281/zenodo.4578471,open,Delineating fragmented grassland patches in the tropical region using multi seasonal synthetic aperture radar (SAR) and optical satellite images
10.5281/zenodo.3718959,open,"Seismic datasets in ""Real-time earthquake location based on the Kalman filter formulation"""
10.5281/zenodo.3269784,open,Smart Insurance datasets subset of the AEGIS project
10.1039/D1RA00514F,open,Aerobically stable and substitutionally labile α-diimine rhenium dicarbonyl complexes
10.5281/zenodo.5914737,open,Food waste dataset
10.6071/M3066D,open,Remineralizing Enamel : A Literature Review
10.5061/dryad.3543v,open,Data from: Allopolyploidy and the evolution of plant virus resistance
10.1111/cgf.14271,open,NOVA: Rendering Virtual Worlds with Humans for Computer Vision Tasks
10.5281/zenodo.4533370,open,Leveraging Language for Abstraction and Program Search Scenes
10.5281/zenodo.5477926,closed,hb-P2-III MS2 reporter data
10.5281/zenodo.5477862,closed,hb-P2-II MS2 reporter data
10.5281/zenodo.5760092,open,ACR PET phantom raw data and templates for advanced analysis
10.5281/zenodo.5770225,open,Gradient Boosting Dataset
10.5281/zenodo.5464256,closed,hb-P2 MS2 reporter in Bcd-1X (bcdE1) data
10.5281/zenodo.5461108,open,Scalable dynamic characterization of synthetic gene circuits - Data
10.5061/dryad.sbcc2fr60,open,High-value plant metabolite production in synthetic biosystems
10.5281/zenodo.3613710,open,Synthetic images of cell nuclei in widefield microscopy
10.5281/zenodo.5734323,open,UIS Log: Synthetic User Interface with Screenshots Log
10.5281/zenodo.1202314,open,CarloTopo synthetic GeoModeller model and relevant MCUE outputs
10.5281/zenodo.5535713,open,Synthetic Escherichia coli mixture samples with variable coverage
10.5281/zenodo.3532890,restricted,Qualified Synthetic Data for Semiconductor Order Lead Times
10.5281/zenodo.4321371,open,I-BiDaaS - CRF - Aluminium die-casting Synthetic Dataset
10.5281/zenodo.6327237,open,(nirscene) deepNIR: Dataset for generating synthetic NIR images
10.5281/zenodo.4723299,open,Synthetic data used in Cho et al. (2021)
10.5281/zenodo.3653053,open,Synthetic Data Set for Uplift Modeling (One Trial)
10.5281/zenodo.3878805,open,Image and diffractions of a Synthetic-holographic protein
10.5281/zenodo.6327247,open,(SEN12MS) deepNIR: Dataset for generating synthetic NIR images
10.5281/zenodo.3247724,open,S58 | PSCYHOCANNAB | NPS and Synthetic Cannabinoids from CompTox
10.5281/zenodo.6340415,open,(capsicum) deepNIR: Dataset for generating synthetic NIR images
10.5281/zenodo.4454551,open,SIDIRE: Synthetic Image Dataset for Illumination Robustness Evaluation
10.5281/zenodo.3958000,open,Groove2Groove MIDI Dataset: synthetic accompaniments in 3k styles
10.5281/zenodo.886516,open,Synthetic tetrode recording dataset with spike-waveform drift
10.5281/zenodo.3889096,open,Leveraging Natural Language for Program Search and Abstraction Learning Graphics
10.5281/zenodo.5741431,open,Synthetic dataset for the flow-shop problem with sequence-dependent setup times (FSsdsu_DS_01)
10.5281/zenodo.3748959,open,Sensing and Imaging Dataset for Ground-based Adaptive Optics (SIDGAO)
10.5281/zenodo.5463611,closed,hb-P2 MS2 reporter in Bcd-1X (delta-bcd) data
10.5281/zenodo.3262333,open,Colony Formation Dataset of Simulated Cell Cultures
10.5281/zenodo.6092453,open,Geometrical control of disorder-induced magnetic domains in planar synthetic antiferromagnets
10.5281/zenodo.817467,open,WeBCMD: A Cross-Platform Interface for the BCMD Modelling Framework
10.5281/zenodo.3889088,open,Leveraging Natural Language for Program Search and Abstraction Learning Regex
10.5281/zenodo.3674566,open,Dataset and Results
10.5281/zenodo.4728054,open,"Co-eruptive surface displacements for the 2018 eruption at Sierra Negra Volcano, Galápagos Islands, measured by InSAR"
10.5061/dryad.34tmpg4jp,open,An alternative and highly efficient synthetic protocol of Osimertinib
10.5281/zenodo.1049182,open,"Synthetic nitrogen fertilizers alter the soil chemistry, production and quality of tea. A meta-analysis"
10.5281/zenodo.4487154,open,Fact Checking Dataset
10.25747/8ykt-3a79,open,"An urban synthetic electricity distribution network from Spain, third version"
10.25747/4j3a-0b53,open,"An urban synthetic electricity distribution network from Spain, second version- ATTEST project"
10.25747/grge-rr56,open,"An urban synthetic electricity distribution network from Spain, first version"
10.5281/zenodo.1904843,open,SEM2D_Synthetic_Seismograms
10.5281/zenodo.3911859,open,Example gamma spec peaks
10.5281/zenodo.1173514,open,ENTICE Multi-objective optimization framework synthetic evaluation data-sets
10.5281/zenodo.5495226,open,Spatio-Temporal Clustering Benchmark for Collective Animal Behavior
10.5281/zenodo.3373445,open,Design and in vitro realization of carbon-conserving photorespiration - Computational Analysis
10.5281/zenodo.5266542,open,TCGA WES processed by Demichelis Lab
10.5281/zenodo.5195621,restricted,Coastal erosion and accretion areas along the Beaufort Sea and Laptev Sea Coasts based on Landsat 1999 - 2014
10.5281/zenodo.4556885,open,RNA dataset generated by Taiyaki
10.5281/zenodo.5535415,open,"Replication package for ""Real Effects of Financial Distress: The Role of Heterogeneity"""
10.5281/zenodo.5506773,open,INSYDE model - Testing empirical and synthetic flood damage models: the case of Italy
10.5061/dryad.9m8ff,open,Data from: RClone: a package to identify MultiLocus Clonal Lineages and handle clonal datasets in R
10.5061/dryad.7sqv9s4p3,open,The distribution and spread of naturally occurring Medea selfish genetic elements in the United States
10.5281/zenodo.5522953,open,Re-identification of Individuals in Genomic Datasets Using Public Face Images
10.5281/zenodo.4710158,open,Constraining the Neutron Star Mass-Radius Relation and Dense Matter Equation of State with NICER. III. Model Description and Verification of Parameter Estimation Codes
10.5281/zenodo.1420395,open,"Synthetic meshes of hippocampi, for statistical shape analysis validation"
10.5281/zenodo.1308732,open,Synthetic images of fluorescent spots and ground truth data
10.5281/zenodo.6275713,open,"Synthetic Studies towards Pyrido[1,2-a]azepine Stemona Alkaloids"
10.5281/zenodo.4473326,restricted,Qualified Synthetic Dataset 3.0 for Semiconductor Order Lead Times
10.5281/zenodo.6274956,open,"Synthetic Studies towards Pyrido[1,2-a]azepine Stemona Alkaloids"
10.5281/zenodo.4980396,open,A versatile plasmid architecture for mammalian synthetic biology (VAMSyB)
10.5281/zenodo.4032980,restricted,Qualified Synthetic Dataset 2.0 for Semiconductor Order Lead Times
10.5281/zenodo.4011759,open,"Synthetic and real datasets for ""Seismic source tracking with six degree-of-freedom ground motion observations"""
10.5281/zenodo.1185411,closed,Photos and PhotoScan projects for Hansbreen Subglacial Conduit
10.5061/dryad.r0g9m,open,Data from: Spore germination determines yeast inbreeding according to fitness in the local environment
10.5061/dryad.2r7f832,open,Data from: Synthesis of 4-substituted ethers of benzophenone and their antileishmanial activities
10.5281/zenodo.192337,open,Hybrid Multilevel Solvers for Discontinuous Galerkin Finite Element Discrete Ordinate (DG-FEM-SN) Diffusion Synthetic Acceleration (DSA) of Radiation Transport Algorithms
10.5281/zenodo.6348094,open,Rupture files
10.5281/zenodo.6223302,open,Unsupervised Multiple-Object Tracking with a Dynamical Variational Autoencoder
10.5281/zenodo.4082007,restricted,Code for MATSim-NYC project
10.5281/zenodo.4110812,open,Timers and Such v0.1
10.5281/zenodo.3878820,open,randlab/adele
10.5281/zenodo.5362923,open,The Darby-Lewis dataset for 9Be3H
10.5281/zenodo.5362921,open,The Darby-Lewis dataset for 9Be2H
10.5281/zenodo.6044741,open,"ITS1 metabarcoding revealing Phytophthora diversity in anthropized and natural ecosystems in Sicily, Italy"
10.5281/zenodo.5585152,open,Synthetic ground motions to support the Fennoscandian GMPEs. Supporting information – Response spectra dataset in excel format
10.5281/zenodo.1470155,open,A synthetic sample of short-cadence solar-like oscillators for TESS
10.5061/dryad.c57c1s0,open,Data from: Chimeric antigen receptors that trigger phagocytosis
10.5061/dryad.sj179,open,Data from: An experimental study of the putative mechanism of a synthetic autonomous rotary DNA nanomotor
10.5061/dryad.b8gtht7c6,open,A synthetic RNA editing factor edits its target site in chloroplasts and bacteria
10.5281/zenodo.5750960,closed,Training and test dataset for Receiver functions for quality classification and inversion
10.5281/zenodo.5016294,open,4DMRI moving lung meshes
10.5281/zenodo.3967879,open,Automotive Fleet Vehicle Data
10.5281/zenodo.3677471,open,Near-field tsunami forecasting along the Cascadia subduction zone using rapid GNSS source models
10.5281/zenodo.3743415,open,"Supplementary data for ""Machine learning-based prediction of activity and substrate specificity for OleA enzymes in the thiolase superfamily"""
10.5281/zenodo.4924091,open,North Atlantic Oscillation (NAO) climate index hidden in ocean generated secondary microseisms
10.5281/zenodo.4767095,open,IAM Strikethrough Database
10.5281/zenodo.6347222,open,"Data sets used in ""Neural network processing of holographic images"""
10.5281/zenodo.5897214,open,How much hydrogen is in Type Ib and IIb supernova progenitors?
10.5281/zenodo.2574694,open,Data to reproduce FAME results
10.5281/zenodo.4734174,open,Training Data for SLGPT
10.5281/zenodo.59943,open,Cascadia FakeQuakes waveform data and scenario plots
10.5281/zenodo.4269887,open,tTEM20AAR: a tTEM geophysical dataset
10.5061/dryad.r4xgxd28v,open,Data from: Combinatorial signal processing in an insect
10.1016/j.imavis.2021.104187,open,Using synthetic data for person tracking under adverse weather conditions
10.5281/zenodo.5569818,restricted,ACPAS dataset: Aligned Classical Piano Audio and Score (synthetic subset)
10.5281/zenodo.3840591,open,"Research Data Supporting ""Engineering synthetic breath biomarkers for respiratory disease"""
10.5281/zenodo.1043822,open,Synthetic geospatial data for performance analysis of geospatial database systems
10.5061/dryad.wm37pvmj6,open,Synthetic soil crusts against green-desert transitions: a spatial model
10.5281/zenodo.826139,open,Synthetic spectrum covering the optical range (3000 to 10000 angstrom)
10.5281/zenodo.5513705,open,Synthetic dataset for mobile wireless networks with SUMO -- aggregated traces
10.5281/zenodo.4455631,open,Establishing diversity in synthetic time series for prediction performance evaluation
10.5281/zenodo.1202034,open,Synthetic dataset for the exomoon candidate around Kepler-1625 b
10.5281/zenodo.5750196,open,synthetic climate data used for Controlled Abstention Network (CAN) development
10.5281/zenodo.4562782,open,Benchmarking computational doublet-detection methods for single-cell RNA sequencing data
10.5281/zenodo.3986502,open,Stacked Dense Denoise-Segmentation FBP synthetic reconstruction from 3601 projection with ring artefacts
10.5281/zenodo.3986504,open,Stacked Dense Denoise-Segmentation FBP synthetic reconstruction from 3601 projection without ring artefacts
10.5281/zenodo.3986506,open,Stacked Dense Denoise-Segmentation CGLS synthetic reconstruction from 91 projection with ring artefacts
10.5281/zenodo.3986508,open,Stacked Dense Denoise-Segmentation CGLS synthetic reconstruction from 91 projection without ring artefacts
10.5281/zenodo.5153485,restricted,"Dataset for manuscript entitled ""The effects of a synthetic and biological surfactant on the community composition and metabolic activity of a freshwater biofilm"""
10.5281/zenodo.4768814,open,Opt2Q Example nominal_data_calibration_results
10.5281/zenodo.5519616,open,Dataset - Impact of 3D radiative transfer on airborne NO2 imaging remote sensing over cities with buildings
10.25338/B8TP7G,open,Blueprint for phasing and assembling the genomes of heterozygous polyploids:  Application to the octoploid genome of strawberry
10.5061/dryad.d9v38,open,Data from: The functional diversity of retinal ganglion cells in the mouse
10.5061/dryad.kv072,open,Data from: Anthropogenic disruption of the night sky darkness in urban and rural areas
10.5061/dryad.r5v40,open,Data from: Fine-mapping nicotine resistance loci in Drosophila using a multiparent advanced generation inter-cross population
10.5281/zenodo.1400484,restricted,"Data and generating files for the manuscript ""A Multi-Model Analysis of Solute Plume Behavior in a Synthetic Braided-River Deposit"", submitted to Water Resources Research, August 2018."
10.5281/zenodo.3677139,open,Training Data of Quantitative Online NMR Spectroscopy for Artificial Neural Networks
10.5281/zenodo.3492155,restricted,3D60 (Real Only - All Viewpoints)
10.5281/zenodo.3408441,restricted,3D60 (Up Viewpoint)
10.5281/zenodo.3407875,restricted,3D60 (Right Viewpoint)
10.5281/zenodo.3949826,open,Reciprocal SEM simulations of seismic impulse response at Piton de la Fournaise volcano
10.5281/zenodo.3407840,restricted,3D60 (Central Viewpoint)
10.5061/dryad.rm907,open,Data from: Toward synthesizing our knowledge of morphology: using ontologies and machine reasoning to extract presence/absence evolutionary phenotypes across studies
10.5281/zenodo.3238625,open,Histological validation of per-bundle water diffusion metrics within a region of fiber crossing following axonal degeneration - Synthetic data
10.5281/zenodo.2591281,open,Image Synthesis with a Convolutional Capsule Generative Adversarial Network- Prepared Data
10.5281/zenodo.4768842,open,Opt2Q Example ordinal_data_calibration_results
10.5281/zenodo.1172190,open,Stress simulation data
10.5281/zenodo.3787952,open,Average fold coverage and annotation results of those ORF that were increasing over treatment  time
10.5281/zenodo.5244421,open,Building pseudo proxy paleotempestology networks using synthetic North Atlantic tropical cyclones
10.5281/zenodo.168576,open,The imprint of crustal density heterogeneities on regional seismic wave propagation - dataset
10.5281/zenodo.4629171,open,"Dataset for ""Mitigating biased inversions resulting from the viewing geometries in InSAR"""
10.5281/zenodo.6245695,open,"Data sets for 'Mechanical Compliance of Individual Fractures in a Heterogeneous Rock Mass from Production-type Full-waveform Sonic Data', submitted to JGR: Solid Earth"
10.5281/zenodo.4304833,open,"Supporting data to M. Cavallaro, et al., 3'-5' crosstalk contributes to transcriptional bursting, 2019"
10.5281/zenodo.4516319,open,Automatic synchronisation of the cell cycle in budding yeast through closed-loop feedback control
10.5281/zenodo.2546466,open,Quantitative Characterisation of α-Synuclein Aggregation in Living Cells through Automated Microfluidics Feedback Control
10.5281/zenodo.3842167,open,Black Start Allocation for Power System Restoration Data
10.5281/zenodo.3831540,open,"Synthetic, realistic vehicular traces for financial district of Quito using SUMO"
10.5281/zenodo.3605946,open,Synthetic dataset for the PFC3D simulation of fragmentable blocks sliding experiments
10.5061/dryad.kr8kk,open,Data from: Haplotype-phased synthetic long reads from short-read sequencing
10.5061/dryad.7nf7d35,open,Data from: Modified HEPES one-pot synthetic strategy for gold nanostars
10.5281/zenodo.3587537,open,Synthetic magnetic nanoparticles for remote-controlled stemcell therapies of neurodegenerative disorders
10.5281/zenodo.1237707,open,"TUT Sound Events 2018 - Ambisonic, Reverberant and Synthetic Impulse Response Dataset"
10.5281/zenodo.3381498,open,Synthetic dataset accompanying Neural Image Compression for Gigapixel Histopathology Image Analysis
10.5281/zenodo.1237703,open,"TUT Sound Events 2018 - Ambisonic, Anechoic and Synthetic Impulse Response Dataset"
10.5061/dryad.5d972,open,"Data from: Automated reconstruction of three-dimensional fish motion, forces, and torques"
10.5061/dryad.f347f,open,Data from: Genetic variation in host plants influences the mate preferences of a plant-feeding insect
10.5281/zenodo.1422376,open,Dataset Master Thesis Patrick Troxler
10.5281/zenodo.3414903,open,"Integrated Probabilistic Annotation (IPA): A Bayesian-based annotation method for metabolomic profiles integrating biochemical connections, isotope patterns and adduct relationships - Supplementary Data"
10.5281/zenodo.4768806,open,Opt2Q Example mixed_data_calibration_results
10.5281/zenodo.31294,open,Global Star-formation Properties Extracted from Synthetic Star-forming Regions | Appendix D
10.5281/zenodo.4750844,open,iTunesU Course contents for chemistry courses
10.5281/zenodo.3956461,open,"Synthetic earthquake catalogs generated for ""Dual seismic migration velocities in seismic swarms"""
10.5281/zenodo.56424,open,Resolution version R3
10.5281/zenodo.254463,open,Example data for spatcov_mex
10.5281/zenodo.4055943,open,Synthetic COVID-19 Case Reporting Data Generated from an Agent-Based Simulation Model
10.5281/zenodo.4555816,open,Observed and synthetic seismic waveforms used to constrain anelastic attenuation (Q factor) of Greenland Ice Sheet
10.5281/zenodo.5512035,open,"Catalog of synthetic seismic records from mineral physics and travel-time tables from Waszek et al., 2021, Nature Geoscience"
10.25740/wv398fc4383,open,Next Generation Spacecraft Pose Estimation Dataset (SPEED+)
10.5281/zenodo.5809158,open,AUTH-OpenDR ALFW Dataset
10.5061/dryad.15v00,open,Data from: Allelic diversity for neutral markers retains a higher adaptive potential for quantitative traits than expected heterozygosity
10.5281/zenodo.2583796,open,DCASE2019_task4_synthetic_data
10.5281/zenodo.3955046,open,"Synthetic histology images of colorectal cancer, generated by conditional generative adversarial networks"
10.5281/zenodo.5227342,open,Synthetic large ensembles from four observation-based products of sea-air CO2 flux from Olivarez et al. (2021)
10.5281/zenodo.4050071,open,Afro-MNIST: Synthetic generation of MNIST-style datasets for low-resource languages
10.5281/zenodo.4633398,open,primary data of Study on Palladium(II)-Catalyzed Mono-1-alkenylation of 9H-Carbazoles
10.5281/zenodo.5524871,open,Image files for exclusive receiver measurements
10.5281/zenodo.5776058,open,The excess of cool supergiants from contemporary stellar evolution models defies the metallicity-independent Humphreys-Davidson limit
10.5281/zenodo.5390383,open,Fortnight Climatology Average of Corrected Chlorophyll-a Concentration from MODIS Level-2 Data in the Algerian Basin (2003-2018)
10.5281/zenodo.3701939,open,Benchmarking algorithms for gene regulatory network inference from single-cell transcriptomic data
10.5281/zenodo.4783289,open,A Synthetic Hyperspectral Dataset for Development and Validation of Phytoplankton Size Class Retrieval Models
10.5281/zenodo.886387,open,All optical mapping data for OMSV
10.5281/zenodo.5362917,open,The Darby-Lewis dataset for 9Be1H
10.5061/dryad.fj6q573vn,open,Data from: Herbivory may mediate the effects of nutrients on the dominance of alien plants
10.5281/zenodo.581657,open,Combinatorial Interaction Testing (CIT) Benchmarks
