doi,access_right,title,description
10.5281/zenodo.574085,open,Sudan (the) Synthetic Ecosystem,Sudan (the) synthetic ecosystem dataset consisting of tables for persons and households. This dataset was created by the SPEW R Package using the following input data sources: GeoHive counts and IPUMS-I shapefiles and microdata.
10.5281/zenodo.574099,open,South Africa Synthetic Ecosystem,South Africa synthetic ecosystem dataset consisting of tables for persons and households. This dataset was created by the SPEW R Package using the following input data sources: GeoHive counts and IPUMS-I shapefiles and microdata.
10.5061/dryad.c59zw3r68,open,Electric vehicle synthetic trips,"<p>This dataset contains four files:</p>

<p>- a trip diary that was synthesized for electric vehicle drivers in the area of Westfield Shopping Center, London.</p>

<p>- a trip diary that was synthesized for electric vehicle drivers in the area of Canary Wharf, London.</p>

<p>- A set of EV charging packages that were used to optimize charging prices for a Charging Service Provider</p>

<p>- A readme file with details and variable definitions for the contained datasets</p>

<p>The original trip sample that was used for the synthesis of the two travel diaries is part of the London Travel Demand Survey (LTDS) - https://tfl.gov.uk/corporate/about-tfl/how-we-work/planning-for-the-future/consultations-and-surveys</p>"
10.5281/zenodo.5638870,open,Amalia synthetic model runs,"<p>ISSM model run outputs and code, as described in the paper &quot;Atypical landslide induces speedup, advance, and long-term slowdown of a tidewater glacier&quot;.</p>

<p>Please contact me (vanwy048@umn.edu)&nbsp;if you are trying to open these files, but are having trouble interpreting ISSM&#39;s file structure.</p>"
10.5281/zenodo.574007,open,New Hampshire Synthetic Ecosystem,"New Hampshire synthetic population dataset consisting of tables for persons, households, schools, and workplaces.  This dataset was created by the SPEW program from 2010 ACS SF 5-Year counts;  2010 US TIGER Roads; ACS PUMS 1-Year micro data; 2013 and 2011 NCES schools; and 2009 ESRI workplaces."
10.5281/zenodo.574087,open,El Salvador Synthetic Ecosystem,El Salvador synthetic ecosystem dataset consisting of tables for persons and households. This dataset was created by the SPEW R Package using the following input data sources: GeoHive counts and IPUMS-I shapefiles and microdata.
10.5281/zenodo.3737630,open,Synthetic spherical tissue images,"<p>A time-lapse sequence of synthetic cell membrane images along with their segmentations. Cell-lineages associating cell labels from consecutive time points are also provided.</p>

<p>&nbsp;</p>

<p><strong>File information:</strong></p>

<p>Image files are in the .inr.gz format, which can be read for instance using the <strong>timagetk</strong> (<a href=""https://gitlab.inria.fr/mosaic/timagetk"">https://gitlab.inria.fr/mosaic/timagetk</a>) Python library.&nbsp;</p>"
10.5281/zenodo.5122832,open,CINECA synthetic cohort NA Canada CHILD [CC-BY-NC-SA],"<p>The &quot;CINECA synthetic cohort NA Canada CHILD&quot; dataset is a synthetic dataset developed to provide insight into how data is structured for select common attributes in the <a href=""https://childstudy.ca/"">CHILD Cohort Study</a>, but not reveal any personal or identifiable information associated with cohort participants. Such synthetic datasets are valuable for software developers to be able to see specific examples of data for common attributes (i.e. a minimal metadata model of a selection of common variables usually present in cohorts). This dataset comprises 100 variables for 150 synthetic participants which have faked phenotypic data that reflects CHILD cohort data. In addition, there is genetic data based on the <a href=""https://www.nature.com/articles/nature15393"">1000 Genomes</a> project. This dataset was created within the context of the <a href=""https://www.cineca-project.eu/"">CINECA</a> project. More information about the creation of this dataset can be found in the included documentation.&nbsp;</p>

<p><br>
<em>Please note this preamble must be included with any distribution of this dataset:&nbsp;</em>This synthetic dataset (with cohort &ldquo;participants&rdquo; / &rdquo;subjects&rdquo; marked with FAKE) has no identifiable data and cannot be used to make any inference about CHILD cohort data or results. The purpose of this dataset is to aid development of technical implementations for cohort data discovery, harmonization, access, and federated analysis. In support of FAIRness in data sharing, this dataset is made freely available under the Creative Commons Licence (CC-BY; <a href=""https://creativecommons.org/licenses/by-nc-sa/4.0/"">https://creativecommons.org/licenses/by-nc-sa/4.0/</a>). Please ensure this preamble is included with this dataset and that the CHILD project and the CINECA project (funding: EC H2020 grant 825775 and CIHR grant 404896) are acknowledged. If you have any questions about this dataset contact Fiona Brinkman at brinkman@sfu.ca or Erin Gill at egill@sfu.ca.</p>

<p>&nbsp;</p>

<p><strong>CINECA synthetic cohorts</strong></p>

<ul>
	<li><a href=""https://zenodo.org/record/4955933"">CINECA synthetic cohort Africa H3ABioNet</a></li>
	<li><a href=""https://zenodo.org/record/5082689"">CINECA synthetic cohort Europe CH SIB</a></li>
	<li><a href=""https://ega-archive.org/datasets/EGAD00001006673"">CINECA synthetic cohort Europe&nbsp;UK1</a></li>
</ul>

<p>&nbsp;</p>"
10.5281/zenodo.3558284,open,The Plenoptic 2.0 Toolbox: Benchmarking of Depth Estimation Methods for MLA-Based Focused Plenoptic Cameras,"<p>Plenoptic 2.0 Images.<br>
The Dataset includes both images acquired with different Raytrix Cameras (R29 and R42) and Synthetic Images. The Synthetic Images are quite basic, while real images contain different backgrounds and different challenges for disparity estimation, view synthesis and compression algorithms.</p>"
10.5281/zenodo.5902313,open,Multi-parameter photon-by-photon hidden Markov modeling dataset,"<p>The core jupyter notebooks demonstrating mpH<sup>2</sup>MM using real nsALEX data on DNA hairpin, the maltose binding protein MalE, and the type III secretion system effector YopO. Also included are the jupyter notebooks for generating simulated photon trajectories to test the validity of the Integrated complete likelihood (ICL) and mpH<sup>2</sup>MM on data where the ground truth is known.</p>

<p>Included are all HDF5 files used by the jupyter notebooks. Those for MalE and YopO are contained in zip files, and should be unziped maintaining the directory structure. All other HDF5 files should be kept in the same folder as the jupyter notebooks. Additional figures and csv files of H2MM models are included in separate zip file.</p>"
10.5061/dryad.mpg4f4qtr,open,"Microplastic contamination in Corpus Christi Bay blue crabs, Callinectes sapidus","<p>Microplastic pollution has been observed in marine environments around the world and has the potential to negatively impact marine organisms when ingested. One organism of particular concern is the blue crab, <i>Callinectes sapidus</i>, whose feeding strategies increase their likelihood of exposure to plastic pollution. To assess microplastic contamination in blue crabs, 39 individuals were collected from Corpus Christi Bay, TX and processed using a hydrogen-peroxide based tissue destruction method followed by confirmation using micro-attenuated total reflectance Fourier transform infrared spectroscopy (µ-FTIR). From the 39 blue crabs sampled, 28 fully synthetic fragments and fibers and 24 semi-synthetic fibers were found within their stomachs. After correcting for possible contamination, 36% of collected blue crabs were estimated to contain 20 synthetic fragments and fibers and 14 semi-synthetic fibers (0.87 items crab<sup>-1</sup>). This study shows that blue crabs ingest microplastic items in Corpus Christi, TX and populations in other locations likely face similar risks.</p>"
10.5281/zenodo.4450368,open,Synthetic Molecules and Egghunt Data,<p>Data needed to reproduce the synthetic molecule analysis from SPLOC paper and the Egghunt also described in that work. Scripts to run this analysis can be found here&nbsp;https://github.com/BioMolecularPhysicsGroup-UNCC/Publications</p>
10.5281/zenodo.4349220,open,Data: Autonomous Drones for Search and Rescue in Forests,"<p>Supplementary&nbsp;Dataset&nbsp;for&nbsp;the&nbsp;article&nbsp;Autonomous&nbsp;Drones&nbsp;for&nbsp;Search&nbsp;and&nbsp;Rescue&nbsp;in&nbsp;Forests.</p>

<p><strong>Abstract:</strong></p>

<p>Drones will play an essential role in human-machine teaming in future search and rescue (SAR) missions. We present a first prototype that finds people fully autonomously in densely occluded forests. In the course of 17 field experiments conducted over various forest types and under different flying conditions, our drone found 38 out of 42 hidden persons; average precision was 86% for predefined flight paths, while adaptive path planning (where potential findings are double-checked) increased confidence by 15%. Image processing, classification, and dynamic flight-path adaptation are computed on-board in real time and while flying. Our finding that deep-learning-based person classification is unaffected by sparse and error-prone sampling within one-dimensional synthetic apertures allows flights to be shortened and reduces recording requirements to one tenth of the number of images needed for sampling using two-dimensional synthetic apertures. The goal of our adaptive path planning is to find people as reliably and quickly as possible, which is essential in time-critical applications, such as SAR. Our drone enables SAR operations in remote areas without stable network coverage, as it transmits to the rescue team only classification results that indicate detections and can thus operate with intermittent minimal-bandwidth connections (e.g., by satellite). Once received, these results can be visually enhanced for interpretation on remote mobile devices.</p>"
10.5281/zenodo.4024677,open,Data: Search and Rescue with Airborne Optical Sectioning,"<p>This dataset supports the finding of our study &quot;Search and Rescue with Airborne Optical Sectioning&quot;.</p>

<p>Abstract: We show that automated person detection under occlusion conditions can be significantly improved by combining multi-perspective images before classification. Here, we employed image integration by Airborne Optical Sectioning (AOS)---a synthetic aperture imaging technique that uses camera drones to capture unstructured thermal light fields---to achieve this with a recall of 93%. Finding lost or injured people in dense forests is not generally feasible with thermal recordings, but becomes practical with use of AOS integral images. Our findings lay the foundation for effective future search and rescue technologies that can be applied in combination with autonomous or manned aircraft.<br>
&nbsp;</p>"
10.5281/zenodo.897187,open,Re-projection alignment for trajectory perturbation estimation in micro-tomography: simulation data,"<p>Simulation cone-beam-tomography data sets including:</p>

<p>a) Synthetic phantom tomogram (3 spheres + random ellipsoids)</p>

<p>b) Forward projection of phantom using low-pitch-helix (LPH) trajectory</p>

<p>c) Forward projection of phantom using space-filling (SF) trajectory</p>

<p>d) Synthetic per-projection perturbations</p>"
10.5281/zenodo.1174315,open,sim2real-iCub-iit2,"<p>Camera images (with mask) from&nbsp;iCub simulation and real robot (at Istituto Italiano di Tecnologia, Italy).</p>

<ul>
	<li>4220 synthetic simulation images for training</li>
	<li>4220 synthetic&nbsp;simulation images for testing</li>
	<li>2239&nbsp;real images for training</li>
	<li>2239 real images for testing</li>
</ul>"
10.5281/zenodo.1173747,open,sim2real-iCub-iit,"<p>Camera images (with mask) from&nbsp;iCub simulation and real robot (at Istituto Italiano di Tecnologia, Italy).</p>

<ul>
	<li>4220 synthetic simulation images for training</li>
	<li>4220 synthetic&nbsp;simulation images for testing</li>
	<li>2000 real images for training</li>
	<li>2000 real images for testing</li>
</ul>"
10.5281/zenodo.56534,open,Accompanying dataset for: Predicting Species Emergence in Simulated Complex Pre-Biotic Networks,"<p>This is the accompanying data and code for the publication [Markovitch &amp; Krasnogor: Predicting Species Emergence in Simulated Complex Pre-Biotic Networks] containing the full set of 10,000 lognormal networks studied, their network communities and the compotype species observed during simulations with the GARD model. Details are given in the aforementioned paper. Please see also: http://ico2s.org/</p>

<p>This work was funded by the UK&#39;s Engineering and Physical Sciences Research Council (EPSRC) under projects (EP/J004111/2) &quot;Towards a Universal Biological-Cell Operating System (AUdACiOuS)&quot; and (EP/N031962/1) &quot;Synthetic Portabolomics: Leading the way at the crossroads of the Digital and the Bio Economies&quot;</p>

<p>&nbsp;</p>"
10.5281/zenodo.4537805,open,BENCHMARK SYNTHETIC SINUSOIDAL BED FORMS,"<p>Archetypical or synthetic bed forms are needed for testing bed form geometrical descriptors and methods of bed form characterization. Such synthetic bed forms must be an idealized representation of their natural counterparts. They must describe their most important geometrical features, so that the variation of these features can be parametrized to test how the studied metric reacts to such variations. This data set includes a group of synthetic bed forms generated from sinusoidal functions. The data set was used for testing a three-dimensionality metric, but the included synthetic bed forms can also serve as benchmark for future studies of bed form three-dimensionality or to test other geometrical bed form descriptors.</p>

<p>The dataset is related to the paper: &quot;Development and validation of a novel metric for bed form three-dimensionality description&quot; by F. N&uacute;&ntilde;ez-Gonz&aacute;lez, D. Hesse, B. Ettmer<sup> </sup>, R. R. Guti&eacute;rrez &amp; O. Link, submitted to Geomorphology</p>"
10.5281/zenodo.5123372,open,Synthetic noisy urban soundscapes: a dataset of synthetic soundscapes with real urban backgrounds,"<p><strong>Publication</strong></p>

<p>&nbsp;</p>

<p>If you use this data in your work, please cite the following paper, which introduced this dataset:</p>

<p>&nbsp;</p>

<p>[1] Pishdadian, F., Wichern, G., &amp; Le Roux, J. (2020). Finding strength in weakness: Learning to separate sounds with weak supervision. IEEE/ACM Transactions on Audio, Speech, and Language Processing (TASLP). [<a href=""https://arxiv.org/pdf/1911.02182"">pdf</a>]</p>

<p>[2] Cramer, A., Cartwright, M., Pishdadian, F., and Bello, J.P. Weakly Supervised Source-Specific Sound Level Estimation in Noisy Soundscapes. In Proceedings of the IEEE Workshop on Applications of Signal Processing to Audio and Acoustics (WASPAA), 2021. [<a href=""https://arxiv.org/pdf/2105.02911"">pdf</a>]</p>

<p><br>
<strong>Created by</strong></p>

<p>Fatemeh Pishdadian (1), Gordon Wichern (2), Jonathan Le Roux (2), Aurora Cramer (3, 4), Mark Cartwright (5), and Juan Pablo Bello (3,4,6,7)</p>

<p>&nbsp;&nbsp;&nbsp; 1. Interactive Audio Lab, Northwestern University<br>
&nbsp;&nbsp;&nbsp; 2. Mitsubishi Electric Research Laboratory<br>
&nbsp;&nbsp;&nbsp; 3. Music and Audio Research Lab, New York University<br>
&nbsp;&nbsp;&nbsp; 4. Department of Electrical and Computer Engineering, New York University<br>
&nbsp;&nbsp;&nbsp; 5. Department of Informatics, New Jersey Institute of Technology<br>
&nbsp;&nbsp;&nbsp; 6. Center for Urban Science and Progress, New York University<br>
&nbsp;&nbsp;&nbsp; 7. Department of Computer Science and Engineering, New York University</p>

<p><br>
<strong>Description</strong></p>

<p>Synthetic noisy urban soundscapes (SNUSS) is a dataset of synthetic soundscapes with real urban background noise meant to mimic urban soundscapes. This dataset contains 30,000 10 second mixtures, their isolated components, and auto-generated annotations. This dataset was developed with the goal of synthesizing soundscapes with a diverse set of realistic sounding background activity, for use in developing and evaluating machine listening systems in urban settings.</p>

<p><br>
<strong>Mixture generation</strong></p>

<p>We generate synthetic mixtures using a collection of isolated sound events with class annotations, as well as a collection of urban background noise.&nbsp; Audio mixtures are 4 seconds long (at 16kHz). We generate a foreground sub-mixture using a subset of clips from <a href=""https://urbansounddataset.weebly.com/urbansound8k.html"">UrbanSound8K</a> [3] from the <em>car horn</em>, <em>dog bark</em>, <em>gun shot</em>, <em>jackhammer</em> and <em>siren</em> classes. These clips range from 0.5 s to 4s. The number of events per mixture is sampled from a zero-truncated Poisson distribution with a rate parameter of 5. The class for each event is chosen uniformly at random from the five target classes. The particular sound event is chosen uniformly at random from the available clips for that class. The start time is chosen uniformly throughout the clip such that the entire clip is contained in the 4 second mixture. A brief fade-in and fade-out is applied to the clip to avoid discontinuities. Each clip is set to a sound level sampled uniformly at random in the range -30 to -20 dB LUFS.</p>

<p>For the background audio, we use urban background recordings from the SONYC-Background dataset [2, 4], containing 441 10 second recordings of urban background noise in New York City. For more information, see the <a href=""https://doi.org/10.5281/zenodo.5129078"">SONYC-Backgrounds page</a>. For each mixture, a random background clip is chosen from which we extract a uniformly chosen 4 second segment.</p>

<p>We create datasets using an foreground-to-background SNRs of -50, -20 -0 dB LUFS, (`n50dB`, `n20dB`, and `0dB` respectively), in addition to a noiseless dataset (`none`). The datasets are generated such that the only difference between them is the relative loudness between the foreground and background.</p>

<p>For the training set, we generate 20,000 mixtures using folds 1-6 of UrbanSound8K and the training set of SONYC-Background. For the validation set, we generate 5,000 examples using folds 7-8 of UrbanSound8K and the validation set of SONYC-Background. For the test set, we generate 5,000 examples using folds 9-10 of UrbanSound8K and the test set of SONYC-Background.</p>

<p>For additional details on the foreground mixture generation process, please refer to [1]. For additional details on generating the soundscapes with background, please refer to [2].</p>

<p><br>
<strong>Files</strong></p>

<p>The dataset files are split into the following compressed archives:</p>

<ul>
	<li>`synthetic-noisy-urban-soundscapes_mixtures-bkgr-none.tar.gz` - Noiseless mixtures</li>
	<li>`synthetic-noisy-urban-soundscapes_mixtures-bkgr-n50dB.tar.gz` - Mixtures with -50 dB LUFS SNR</li>
	<li>`synthetic-noisy-urban-soundscapes_mixtures-bkgr-n20dB.tar.gz` - Mixtures with -20 dB LUFS SNR</li>
	<li>`synthetic-noisy-urban-soundscapes_mixtures-bkgr-0dB.tar.gz` - Mixtures with 0 dB LUFS SNR</li>
	<li>`synthetic-noisy-urban-soundscapes_isolated_events.tar.gz` - Isolated sound events for each mixture</li>
</ul>

<p><br>
<em>Preparing the files</em></p>

<ol>
	<li>Download each of the tar.gz files to a new folder. You need at the `isolated_events` and one of the mixture datasets.</li>
	<li>Decompress all of the tar.gz files.</li>
	<li>Merge the contents of the extracted `isolated_events` folder into the extracted mixture folders. This makes sure the corresponding isolated events for each mixture are placed in its `XXXXX_events` folder.</li>
</ol>

<p><br>
<em>File structure</em></p>

<p>The mixture dataset folder for the desired background condition should have the format `synthetic-noisy-urban-soundscapes_mixtures-bkgr-&lt;condition&gt;/&lt;split&gt;`. Within each split folder are the mixture files, which are identified by an integer (padded with leading zeros up to 5 places). For a mixture `00001`, the mixture audio is `00001.wav` and the annotation file (in JAMS [5] format) is `00001.jams`. The isolated events can be found in the `00001_events` folder, where foreground events have the format `foreground&lt;fg-event-num&gt;_&lt;class-name&gt;.wav` and the background recording (if used) is called `background0_2017.wav`.</p>

<p><br>
<strong>Contact</strong></p>

<p>If you have any questions, comments, or concerns, please direct correspondence to Aurora Cramer (aurora (dot) linh (dot) cramer (at) gmail (dot) com).</p>

<p>&nbsp;</p>

<p><strong>References</strong></p>

<p>[1] Pishdadian, F., Wichern, G., &amp; Le Roux, J. (2020). Finding strength in weakness: Learning to separate sounds with weak supervision. IEEE/ACM Transactions on Audio, Speech, and Language Processing (TASLP).</p>

<p>[2] Cramer, A., Cartwright, M., Pishdadian, F., and Bello, J. P. (2021). Weakly Supervised Source-Specific Sound Level Estimation in Noisy Soundscapes. In 2015 IEEE Workshop on Applications of Signal Processing to Audio and Acoustics (WASPAA).</p>

<p>[3] Salamon, J., Jacoby, C., and Bello, J.P. (2014). A dataset and taxonomy for urban sound research. In 2014 ACM International Conference on Multimedia.</p>

<p>[4] Cramer, A., Cartwright, M., Pishdadian, F., and Bello, J.P. (2021). SONYC-Backgrounds: a collection of urban background recordings from an acoustic sensor network (1.0.0). Zenodo. https://doi.org/10.5281/zenodo.5129078</p>

<p>[5] Humphrey, E. J., Salamon, J., Nieto, O., Forsyth, J., Bittner, R. M., and Bello, J.P. (2014). JAMS: A JSON Annotated Music Specification for Reproducible MIR Research. In 2014 International Society for Music Information Retrieval Conference (ISMIR)</p>

<p><br>
<strong>Acknowledgements</strong></p>

<p>This work is partially supported by National Science Foundation <a href=""https://www.nsf.gov/awardsearch/showAward?AWD_ID=1633259"">award 1633259</a> and <a href=""https://www.nsf.gov/awardsearch/showAward?AWD_ID=1544753"">award 1544753</a>.</p>

<p>&nbsp;</p>"
10.5281/zenodo.3839778,open,Synthetic Datasets for Evaluation of Spa-Typing Methods,"<p>This dataset contains 3 sets of wgsim simulated reads (paired-end, 100 bp length) of MRSA.</p>

<p>Synthetic dataset A contains reads sampled from a reference genome where the X region was artificially replaced with the t032 spa-type sequence. The reads contain no errors.</p>

<p>Synthetic dataset B contains reads sampled from a reference genome where the X region was artificially replaced with the t032 spa-type sequence. The reads contain point mutation errors.</p>

<p>Synthetic dataset C contains reads sampled from a reference genome where the X region was artificially replaced with a specific spa-type sequence. The reads contain point mutation errors.</p>"
10.5281/zenodo.3723880,open,Three-dimensional hydraulic tomography analysis of long-term municipal wellfield operations: Validation with synthetic flow and solute transport data,"<p>Attached are the datasets utilized to accomplish the study of &quot;<em>Three-dimensional hydraulic tomography analysis of long-term municipal wellfiled operations: Validation with synthetic flow and solute transport data&quot;. </em>Basically, it includes the information of the discrete model and assigned, wells as well as the generated synthetic hydraulic head and solute concentration data.</p>"
10.5281/zenodo.31293,open,Global Star-formation Properties Extracted from Synthetic Star-forming Regions | Appendix C,"<p>We provide in this online-material <span class=""math-tex"">\(\sim 5800\)</span> realistic synthetic observations (FITS files) of a synthetic star-forming region described in detail in Chapter 4 of the PhD thesis. </p>

<p>Please cite the following papers:</p>

<p>http://adsabs.harvard.edu/abs/2017ApJ...849….3K<br>
http://adsabs.harvard.edu/abs/2017ApJS..233....1K</p>"
10.5281/zenodo.5591969,open,IMMI Dataset,<p>IMMI Dataset is a dataset consisting of Indic Historical Manuscript images&nbsp;with multiple manuscripts scanned together. This dataset can be used to train deep networks for multi-page document image segmentation. The IMMI dataset covers a practical range in terms of the number of manuscripts per image. It comprises both synthetic and Non-synthetic images.</p>
10.5281/zenodo.5544688,open,PatchFlow v1.0 age-stratified networks FRA,Age-stratified synthetic mobility networks for FRA
10.5281/zenodo.5544804,open,PatchFlow v1.0 age-stratified networks NAM,Age-stratified synthetic mobility networks for NAM
10.5281/zenodo.5544822,open,PatchFlow v1.0 age-stratified networks PAN,Age-stratified synthetic mobility networks for PAN
10.5281/zenodo.5544680,open,PatchFlow v1.0 age-stratified networks ETH,Age-stratified synthetic mobility networks for ETH
10.5281/zenodo.5544890,open,PatchFlow v1.0 age-stratified networks UGA,Age-stratified synthetic mobility networks for UGA
10.5281/zenodo.5544898,open,PatchFlow v1.0 age-stratified networks UZB,Age-stratified synthetic mobility networks for UZB
10.5281/zenodo.5544593,open,PatchFlow v1.0 age-stratified networks AND,Age-stratified synthetic mobility networks for AND
10.5281/zenodo.5544743,open,PatchFlow v1.0 age-stratified networks ITA,Age-stratified synthetic mobility networks for ITA
10.5281/zenodo.5544848,open,PatchFlow v1.0 age-stratified networks SGP,Age-stratified synthetic mobility networks for SGP
10.5281/zenodo.5544644,open,PatchFlow v1.0 age-stratified networks CHE,Age-stratified synthetic mobility networks for CHE
10.5281/zenodo.5544652,open,PatchFlow v1.0 age-stratified networks COG,Age-stratified synthetic mobility networks for COG
10.5281/zenodo.5544764,open,PatchFlow v1.0 age-stratified networks KWT,Age-stratified synthetic mobility networks for KWT
10.5281/zenodo.5544766,open,PatchFlow v1.0 age-stratified networks LAO,Age-stratified synthetic mobility networks for LAO
10.5281/zenodo.5544900,open,PatchFlow v1.0 age-stratified networks VEN,Age-stratified synthetic mobility networks for VEN
10.5281/zenodo.5544860,open,PatchFlow v1.0 age-stratified networks SUR,Age-stratified synthetic mobility networks for SUR
10.5281/zenodo.5053036,open,Synthetic data for R training,<p>Synthetic data for R training</p>
10.5281/zenodo.5544778,open,PatchFlow v1.0 age-stratified networks LTU,Age-stratified synthetic mobility networks for LTU
10.5281/zenodo.5544914,open,PatchFlow v1.0 age-stratified networks XNC,Age-stratified synthetic mobility networks for XNC
10.5281/zenodo.5544650,open,PatchFlow v1.0 age-stratified networks CMR,Age-stratified synthetic mobility networks for CMR
10.5281/zenodo.5544607,open,PatchFlow v1.0 age-stratified networks AZE,Age-stratified synthetic mobility networks for AZE
10.5281/zenodo.5544761,open,PatchFlow v1.0 age-stratified networks KOR,Age-stratified synthetic mobility networks for KOR
10.5281/zenodo.5544768,open,PatchFlow v1.0 age-stratified networks LBN,Age-stratified synthetic mobility networks for LBN
10.5281/zenodo.5544671,open,PatchFlow v1.0 age-stratified networks ECU,Age-stratified synthetic mobility networks for ECU
10.5281/zenodo.5544636,open,PatchFlow v1.0 age-stratified networks BRN,Age-stratified synthetic mobility networks for BRN
10.5281/zenodo.5544714,open,PatchFlow v1.0 age-stratified networks HRV,Age-stratified synthetic mobility networks for HRV
10.5281/zenodo.5544920,open,PatchFlow v1.0 age-stratified networks ZMB,Age-stratified synthetic mobility networks for ZMB
10.5281/zenodo.5544800,open,PatchFlow v1.0 age-stratified networks MUS,Age-stratified synthetic mobility networks for MUS
10.5281/zenodo.5544667,open,PatchFlow v1.0 age-stratified networks DOM,Age-stratified synthetic mobility networks for DOM
10.5281/zenodo.5544601,open,PatchFlow v1.0 age-stratified networks ATG,Age-stratified synthetic mobility networks for ATG
10.5281/zenodo.5544605,open,PatchFlow v1.0 age-stratified networks AUT,Age-stratified synthetic mobility networks for AUT
10.5281/zenodo.5544796,open,PatchFlow v1.0 age-stratified networks MOZ,Age-stratified synthetic mobility networks for MOZ
10.5281/zenodo.5544798,open,PatchFlow v1.0 age-stratified networks MRT,Age-stratified synthetic mobility networks for MRT
10.5281/zenodo.5544858,open,PatchFlow v1.0 age-stratified networks STP,Age-stratified synthetic mobility networks for STP
10.5281/zenodo.5544864,open,PatchFlow v1.0 age-stratified networks SVN,Age-stratified synthetic mobility networks for SVN
10.5281/zenodo.5544677,open,PatchFlow v1.0 age-stratified networks EST,Age-stratified synthetic mobility networks for EST
10.5281/zenodo.5544737,open,PatchFlow v1.0 age-stratified networks ISL,Age-stratified synthetic mobility networks for ISL
10.5281/zenodo.5544916,open,PatchFlow v1.0 age-stratified networks YEM,Age-stratified synthetic mobility networks for YEM
10.5281/zenodo.5544784,open,PatchFlow v1.0 age-stratified networks MAR,Age-stratified synthetic mobility networks for MAR
10.5281/zenodo.5544882,open,PatchFlow v1.0 age-stratified networks TUN,Age-stratified synthetic mobility networks for TUN
10.5281/zenodo.5544591,open,PatchFlow v1.0 age-stratified networks ALB,Age-stratified synthetic mobility networks for ALB
10.5281/zenodo.5544820,open,PatchFlow v1.0 age-stratified networks PAK,Age-stratified synthetic mobility networks for PAK
10.5281/zenodo.5544660,open,PatchFlow v1.0 age-stratified networks CZE,Age-stratified synthetic mobility networks for CZE
10.5281/zenodo.5544816,open,PatchFlow v1.0 age-stratified networks NZL,Age-stratified synthetic mobility networks for NZL
10.5281/zenodo.5544772,open,PatchFlow v1.0 age-stratified networks LCA,Age-stratified synthetic mobility networks for LCA
10.5281/zenodo.5544702,open,PatchFlow v1.0 age-stratified networks GRC,Age-stratified synthetic mobility networks for GRC
10.5281/zenodo.5544830,open,PatchFlow v1.0 age-stratified networks PRT,Age-stratified synthetic mobility networks for PRT
10.5281/zenodo.5544846,open,PatchFlow v1.0 age-stratified networks SEN,Age-stratified synthetic mobility networks for SEN
10.5281/zenodo.5544912,open,PatchFlow v1.0 age-stratified networks XKO,Age-stratified synthetic mobility networks for XKO
10.5281/zenodo.5544824,open,PatchFlow v1.0 age-stratified networks PER,Age-stratified synthetic mobility networks for PER
10.5281/zenodo.5544794,open,PatchFlow v1.0 age-stratified networks MNG,Age-stratified synthetic mobility networks for MNG
10.5281/zenodo.5544832,open,PatchFlow v1.0 age-stratified networks PRY,Age-stratified synthetic mobility networks for PRY
10.5281/zenodo.5544839,open,PatchFlow v1.0 age-stratified networks RUS,Age-stratified synthetic mobility networks for RUS
10.5281/zenodo.5544629,open,PatchFlow v1.0 age-stratified networks BLZ,Age-stratified synthetic mobility networks for BLZ
10.5281/zenodo.5544802,open,PatchFlow v1.0 age-stratified networks MYS,Age-stratified synthetic mobility networks for MYS
10.5281/zenodo.5544613,open,PatchFlow v1.0 age-stratified networks BFA,Age-stratified synthetic mobility networks for BFA
10.5281/zenodo.5544836,open,PatchFlow v1.0 age-stratified networks ROU,Age-stratified synthetic mobility networks for ROU
10.5281/zenodo.5544852,open,PatchFlow v1.0 age-stratified networks SLE,Age-stratified synthetic mobility networks for SLE
10.5281/zenodo.5544597,open,PatchFlow v1.0 age-stratified networks ARG,Age-stratified synthetic mobility networks for ARG
10.5281/zenodo.5544776,open,PatchFlow v1.0 age-stratified networks LSO,Age-stratified synthetic mobility networks for LSO
10.5281/zenodo.5544826,open,PatchFlow v1.0 age-stratified networks PHL,Age-stratified synthetic mobility networks for PHL
10.5281/zenodo.5544718,open,PatchFlow v1.0 age-stratified networks HUN,Age-stratified synthetic mobility networks for HUN
10.5281/zenodo.5544724,open,PatchFlow v1.0 age-stratified networks IND,Age-stratified synthetic mobility networks for IND
10.5281/zenodo.5544806,open,PatchFlow v1.0 age-stratified networks NER,Age-stratified synthetic mobility networks for NER
10.5281/zenodo.5544642,open,PatchFlow v1.0 age-stratified networks CAN,Age-stratified synthetic mobility networks for CAN
10.5281/zenodo.5544696,open,PatchFlow v1.0 age-stratified networks GHA,Age-stratified synthetic mobility networks for GHA
10.5281/zenodo.5544788,open,PatchFlow v1.0 age-stratified networks MKD,Age-stratified synthetic mobility networks for MKD
10.5281/zenodo.5544708,open,PatchFlow v1.0 age-stratified networks GUY,Age-stratified synthetic mobility networks for GUY
10.5281/zenodo.5544704,open,PatchFlow v1.0 age-stratified networks GTM,Age-stratified synthetic mobility networks for GTM
10.5281/zenodo.5544786,open,PatchFlow v1.0 age-stratified networks MEX,Age-stratified synthetic mobility networks for MEX
10.5281/zenodo.5544745,open,PatchFlow v1.0 age-stratified networks JAM,Age-stratified synthetic mobility networks for JAM
10.5281/zenodo.5544712,open,PatchFlow v1.0 age-stratified networks HND,Age-stratified synthetic mobility networks for HND
